,Accession,Protein,Organism_Name,Species,Genotype,Isolate,Length,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
11,YBL22188.1,major capsid protein L1,Human papillomavirus 16,Alphapapillomavirus 9,,InDRE 37Oax/Mexico/2022,531,Mexico,Homo sapiens,cervix,"Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.",2022,2025-10-22,dsDNA
12,BHD12242.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,SW0153,531,Japan,Homo sapiens,,"Kukimoto,I., Matsumoto,K.",2022,2025-09-02,dsDNA
13,BHD12250.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,SW0160,531,Japan,Homo sapiens,,"Kukimoto,I., Matsumoto,K.",2022,2025-09-02,dsDNA
14,BHD12258.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,SW0161,531,Japan,Homo sapiens,,"Kukimoto,I., Matsumoto,K.",2022,2025-09-02,dsDNA
15,BHD12266.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,SW0162,531,Japan,Homo sapiens,,"Kukimoto,I., Matsumoto,K.",2022,2025-09-02,dsDNA
16,BHD12274.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,SW0164,531,Japan,Homo sapiens,,"Kukimoto,I., Matsumoto,K.",2022,2025-09-02,dsDNA
17,BHD12282.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,SW0178,531,Japan,Homo sapiens,,"Kukimoto,I., Matsumoto,K.",2023,2025-09-02,dsDNA
18,BHD12290.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,SW0192,531,Japan,Homo sapiens,,"Kukimoto,I., Matsumoto,K.",2023,2025-09-02,dsDNA
19,BHD12298.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,SW0193,531,Japan,Homo sapiens,,"Kukimoto,I., Matsumoto,K.",2023,2025-09-02,dsDNA
20,BHD12306.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,SW0199,531,Japan,Homo sapiens,,"Kukimoto,I., Matsumoto,K.",2024,2025-09-02,dsDNA
21,BHD12314.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,SW0201,531,Japan,Homo sapiens,,"Kukimoto,I., Matsumoto,K.",2024,2025-09-02,dsDNA
22,XWS90052.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,OM1957,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2012,2025-06-30,dsDNA
23,XWS90060.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,KV1957,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2013,2025-06-30,dsDNA
24,XWS90068.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,VV1971,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2016,2025-06-30,dsDNA
25,XWS90076.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,KE1980,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2014,2025-06-30,dsDNA
26,XWS90084.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,JO1976,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2020,2025-06-30,dsDNA
27,XWS90092.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,II1977,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2023,2025-06-30,dsDNA
28,XWS90100.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,SB1997,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2023,2025-06-30,dsDNA
29,XWS90108.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,VS1969,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2021,2025-06-30,dsDNA
30,XWS90116.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,ID1967,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2023,2025-06-30,dsDNA
31,XWS90124.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,BK1957,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2023,2025-06-30,dsDNA
32,XWS90132.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,NR1992,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2021,2025-06-30,dsDNA
33,XWS90140.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,KM1991,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2021,2025-06-30,dsDNA
34,XWS90148.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,JG1986,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2019,2025-06-30,dsDNA
35,XWS90156.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,NS1986,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2023,2025-06-30,dsDNA
36,XWS90164.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,JO1980,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2017,2025-06-30,dsDNA
37,XWS90172.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,JD1989,505,Latvia,Homo sapiens,,"Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.",2015,2025-06-30,dsDNA
38,XPA20821.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#003,505,France,Homo sapiens,cervix,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
39,XPA20829.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#007,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2023,2025-06-23,dsDNA
40,XPA20837.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#008,505,France,Homo sapiens,cervix,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2020,2025-06-23,dsDNA
41,XPA20845.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#010,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
42,XPA20853.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#011,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2023,2025-06-23,dsDNA
43,XPA20860.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#015,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2020,2025-06-23,dsDNA
44,XPA20868.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#016,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2020,2025-06-23,dsDNA
45,XPA20876.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#019,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2023,2025-06-23,dsDNA
46,XPA20884.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#020,505,France,Homo sapiens,cervix,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2020,2025-06-23,dsDNA
47,XPA20892.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#025,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2023,2025-06-23,dsDNA
48,XPA20900.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#026,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2023,2025-06-23,dsDNA
49,XPA20908.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#027,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2023,2025-06-23,dsDNA
50,XPA20916.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#028,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2024,2025-06-23,dsDNA
51,XPA20924.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#030,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2024,2025-06-23,dsDNA
52,XPA20932.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#031,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2024,2025-06-23,dsDNA
53,XPA20940.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#032,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2024,2025-06-23,dsDNA
54,XPA20948.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#034,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2023,2025-06-23,dsDNA
55,XPA20956.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#035,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2023,2025-06-23,dsDNA
56,XPA20964.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#036,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2024,2025-06-23,dsDNA
57,XPA20972.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#037,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2024,2025-06-23,dsDNA
58,XPA20980.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#038,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2024,2025-06-23,dsDNA
59,XPA20988.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#040,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2023,2025-06-23,dsDNA
60,XPA20996.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#042,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2023,2025-06-23,dsDNA
61,XPA21004.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#045,505,France,Homo sapiens,cervix,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2023,2025-06-23,dsDNA
62,XPA21012.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#047,505,France,Homo sapiens,cervix,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2024,2025-06-23,dsDNA
63,XPA21020.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#048,505,France,Homo sapiens,cervix,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2023,2025-06-23,dsDNA
64,XPA21028.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#049,505,France,Homo sapiens,cervix,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2023,2025-06-23,dsDNA
65,XPA21036.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#054,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2024,2025-06-23,dsDNA
66,XPA21044.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#055,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2024,2025-06-23,dsDNA
67,XPA21052.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#056,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2024,2025-06-23,dsDNA
68,XPA21060.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#064,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2017,2025-06-23,dsDNA
69,XPA21068.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#065,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2018,2025-06-23,dsDNA
70,XPA21076.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#066,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
71,XPA21084.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#067,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
72,XPA21092.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#069,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
73,XPA21100.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#070,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
74,XPA21108.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#074,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
75,XPA21116.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#077,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
76,XPA21124.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#078,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
77,XPA21132.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#079,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
78,XPA21140.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#080,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
79,XPA21148.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#081,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
80,XPA21156.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#082,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
81,XPA21164.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#084,505,France,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2018,2025-06-23,dsDNA
82,XPA21172.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#085,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
83,XPA21180.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#087,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
84,XPA21188.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#088,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
85,XPA21196.1,L1 protein,Human papillomavirus 16,Alphapapillomavirus 9,,#090,505,Cambodia,Homo sapiens,,"Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.",2021,2025-06-23,dsDNA
