GROUP	CODE	NAME	YEAR	ANTIGEN	ANTIGEN_DESCRIPTION	COVERAGE_CATEGORY	COVERAGE_CATEGORY_DESCRIPTION	TARGET_NUMBER(	DOSES	COVERAGE					TARGET --> The number of people in the target population (e.g. girls or boys eligible for HPV vaccination that year).
WHO_REGIONS	SEAR	South-East Asia Region	2022	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15327999	314639	2					
WHO_REGIONS	WPR	Western Pacific Region	2022	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	13400218	528540	4					
WHO_REGIONS	WPR	Western Pacific Region	2022	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	14997151	102562	1					
WHO_REGIONS	AFR	African Region	2021	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	13477104	0	0					
WHO_REGIONS	AFR	African Region	2021	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	13230265	1997414	15					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2021	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7844792	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2021	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7480177	12339	0					
WHO_REGIONS	EUR	European Region	2021	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5447255	835963	15					
WHO_REGIONS	EUR	European Region	2021	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	5182859	1631813	31					
WHO_REGIONS	AMR	Region of the Americas	2021	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7873562	2232603	28					
WHO_REGIONS	AMR	Region of the Americas	2021	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7527173	2929599	39					
WHO_REGIONS	SEAR	South-East Asia Region	2021	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15486104	86518	1					
WHO_REGIONS	SEAR	South-East Asia Region	2021	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	16777419	6270	0					
WHO_REGIONS	WPR	Western Pacific Region	2021	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	13147997	486245	4					
WHO_REGIONS	WPR	Western Pacific Region	2021	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	14718035	115403	1					
WHO_REGIONS	AFR	African Region	2020	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	12831027	1565838	12					
WHO_REGIONS	AFR	African Region	2020	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	13067228	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2020	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7661433	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2020	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7297350	11474	0					
WHO_REGIONS	EUR	European Region	2020	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	5119628	1604984	31					
WHO_REGIONS	EUR	European Region	2020	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5378366	414646	8					
WHO_REGIONS	AMR	Region of the Americas	2020	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7862729	2067566	26					
WHO_REGIONS	AMR	Region of the Americas	2020	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7518692	2899108	39					
WHO_REGIONS	SEAR	South-East Asia Region	2020	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	16950334	0	0					
WHO_REGIONS	SEAR	South-East Asia Region	2020	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15655817	95361	1					
WHO_REGIONS	WPR	Western Pacific Region	2020	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	12980070	672018	5					
WHO_REGIONS	WPR	Western Pacific Region	2020	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	14529546	118263	1					
WHO_REGIONS	AFR	African Region	2019	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	12433957	1214961	10					
WHO_REGIONS	AFR	African Region	2019	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	12661025	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2019	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7181738	10185	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2019	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7541967	0	0					
WHO_REGIONS	EUR	European Region	2019	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5330049	304447	6					
WHO_REGIONS	EUR	European Region	2019	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	5072041	1423559	28					
WHO_REGIONS	AMR	Region of the Americas	2019	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7522007	4081361	54					
WHO_REGIONS	AMR	Region of the Americas	2019	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7863500	2075662	26					
WHO_REGIONS	SEAR	South-East Asia Region	2019	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15793631	150535	1					
WHO_REGIONS	SEAR	South-East Asia Region	2019	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	17101658	0	0					
WHO_REGIONS	WPR	Western Pacific Region	2019	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	14369665	133854	1					
WHO_REGIONS	WPR	Western Pacific Region	2019	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	12841873	565149	4					
WHO_REGIONS	AFR	African Region	2018	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	12065176	850485	7					
WHO_REGIONS	AFR	African Region	2018	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	12286498	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2018	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7085127	9774	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2018	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7453877	0	0					
WHO_REGIONS	EUR	European Region	2018	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5271781	261053	5					
WHO_REGIONS	EUR	European Region	2018	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	5013345	1313013	26					
WHO_REGIONS	AMR	Region of the Americas	2018	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7868764	2238631	28					
WHO_REGIONS	AMR	Region of the Americas	2018	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7531098	3994156	53					
WHO_REGIONS	SEAR	South-East Asia Region	2018	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	17226500	0	0					
WHO_REGIONS	SEAR	South-East Asia Region	2018	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15900707	228189	1					
WHO_REGIONS	WPR	Western Pacific Region	2018	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	12772700	612741	5					
WHO_REGIONS	WPR	Western Pacific Region	2018	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	14293229	129682	1					
WHO_REGIONS	AFR	African Region	2017	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	11726196	687891	6					
WHO_REGIONS	AFR	African Region	2017	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	11942423	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2017	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	6986362	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2017	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7366655	0	0					
WHO_REGIONS	EUR	European Region	2017	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	4973134	1290466	26					
WHO_REGIONS	EUR	European Region	2017	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5235159	86989	2					
WHO_REGIONS	AMR	Region of the Americas	2017	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7564883	4424123	58					
WHO_REGIONS	AMR	Region of the Americas	2017	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7897796	1025576	13					
WHO_REGIONS	SEAR	South-East Asia Region	2017	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15972421	306316	2					
WHO_REGIONS	SEAR	South-East Asia Region	2017	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	17352504	0	0					
WHO_REGIONS	WPR	Western Pacific Region	2017	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	14375792	108599	1					
WHO_REGIONS	WPR	Western Pacific Region	2017	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	12841343	589849	5					
WHO_REGIONS	AFR	African Region	2016	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	11406907	559600	5					
WHO_REGIONS	AFR	African Region	2016	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	11618925	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2016	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	6903469	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2016	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7290017	0	0					
WHO_REGIONS	EUR	European Region	2016	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	5009464	1227131	25					
WHO_REGIONS	EUR	European Region	2016	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5277886	36937	1					
WHO_REGIONS	AMR	Region of the Americas	2016	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7615089	3894131	51					
WHO_REGIONS	AMR	Region of the Americas	2016	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7946083	700967	9					
WHO_REGIONS	SEAR	South-East Asia Region	2016	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	17326303	0	0					
WHO_REGIONS	SEAR	South-East Asia Region	2016	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15896121	6680	0					
WHO_REGIONS	WPR	Western Pacific Region	2016	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	13141852	575788	4					
WHO_REGIONS	WPR	Western Pacific Region	2016	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	14723188	107420	1					
WHO_REGIONS	AFR	African Region	2015	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	11085482	402368	4					
WHO_REGIONS	AFR	African Region	2015	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	11291366	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2015	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	6818909	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2015	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7206691	0	0					
WHO_REGIONS	EUR	European Region	2015	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	5036021	1181424	23					
WHO_REGIONS	EUR	European Region	2015	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5298601	444	0					
WHO_REGIONS	AMR	Region of the Americas	2015	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7620986	3306041	43					
WHO_REGIONS	AMR	Region of the Americas	2015	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7951263	550653	7					
WHO_REGIONS	SEAR	South-East Asia Region	2015	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	17132524	0	0					
WHO_REGIONS	SEAR	South-East Asia Region	2015	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15708365	6442	0					
WHO_REGIONS	WPR	Western Pacific Region	2015	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	14785882	99958	1					
WHO_REGIONS	WPR	Western Pacific Region	2015	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	13197118	575277	4					
WHO_REGIONS	AFR	African Region	2014	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	10753474	403996	4					
WHO_REGIONS	AFR	African Region	2014	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	10947787	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2014	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	6718674	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2014	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7102232	0	0					
WHO_REGIONS	EUR	European Region	2014	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	5057178	1109577	22					
WHO_REGIONS	EUR	European Region	2014	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5308676	0	0					
WHO_REGIONS	AMR	Region of the Americas	2014	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7926345	345642	4					
WHO_REGIONS	AMR	Region of the Americas	2014	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7600830	3363343	44					
WHO_REGIONS	SEAR	South-East Asia Region	2014	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15570920	6358	0					
WHO_REGIONS	SEAR	South-East Asia Region	2014	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	16978539	0	0					
WHO_REGIONS	WPR	Western Pacific Region	2014	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	14654868	90746	1					
WHO_REGIONS	WPR	Western Pacific Region	2014	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	13098585	349482	3					
WHO_REGIONS	AFR	African Region	2013	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	10471179	66191	1					
WHO_REGIONS	AFR	African Region	2013	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	10658289	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2013	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	6616954	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2013	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	6996320	0	0					
WHO_REGIONS	EUR	European Region	2013	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	5111216	1094092	21					
WHO_REGIONS	EUR	European Region	2013	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5356816	0	0					
WHO_REGIONS	AMR	Region of the Americas	2013	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7585916	2148578	28					
WHO_REGIONS	AMR	Region of the Americas	2013	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7905958	256149	3					
WHO_REGIONS	SEAR	South-East Asia Region	2013	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15500865	4603	0					
WHO_REGIONS	SEAR	South-East Asia Region	2013	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	16893649	0	0					
WHO_REGIONS	WPR	Western Pacific Region	2013	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	13325310	425985	3					
WHO_REGIONS	WPR	Western Pacific Region	2013	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	14882023	0	0					
WHO_REGIONS	AFR	African Region	2012	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	10444578	0	0					
WHO_REGIONS	AFR	African Region	2012	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	10261981	53295	1					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2012	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	6540633	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2012	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	6924755	0	0					
WHO_REGIONS	EUR	European Region	2012	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5402492	0	0					
WHO_REGIONS	EUR	European Region	2012	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	5163025	1095962	21					
WHO_REGIONS	AMR	Region of the Americas	2012	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7580589	1827720	24					
WHO_REGIONS	AMR	Region of the Americas	2012	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7896439	148570	2					
WHO_REGIONS	SEAR	South-East Asia Region	2012	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	16785548	0	0					
WHO_REGIONS	SEAR	South-East Asia Region	2012	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15419363	5381	0					
WHO_REGIONS	WPR	Western Pacific Region	2012	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	15187350	0	0					
WHO_REGIONS	WPR	Western Pacific Region	2012	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	13624733	335153	2					
WHO_REGIONS	AFR	African Region	2011	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	10231865	0	0					
WHO_REGIONS	AFR	African Region	2011	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	10056522	40886	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2011	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	6885772	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2011	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	6495660	0	0					
WHO_REGIONS	EUR	European Region	2011	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	5245806	997402	19					
WHO_REGIONS	EUR	European Region	2011	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5483348	0	0					
WHO_REGIONS	AMR	Region of the Americas	2011	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7609077	784608	10					
WHO_REGIONS	AMR	Region of the Americas	2011	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7921629	42597	1					
WHO_REGIONS	SEAR	South-East Asia Region	2011	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15323415	5311	0					
WHO_REGIONS	SEAR	South-East Asia Region	2011	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	16664779	0	0					
WHO_REGIONS	WPR	Western Pacific Region	2011	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	15512374	0	0					
WHO_REGIONS	WPR	Western Pacific Region	2011	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	13943597	324985	2					
WHO_REGIONS	AFR	African Region	2010	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	9860478	0	0					
WHO_REGIONS	AFR	African Region	2010	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	9693425	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2010	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	6574046	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2010	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	6974217	0	0					
WHO_REGIONS	EUR	European Region	2010	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	5335045	772261	14					
WHO_REGIONS	EUR	European Region	2010	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5570467	0	0					
WHO_REGIONS	AMR	Region of the Americas	2010	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7639651	483656	6					
WHO_REGIONS	AMR	Region of the Americas	2010	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7945746	0	0					
WHO_REGIONS	SEAR	South-East Asia Region	2010	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	16533651	0	0					
WHO_REGIONS	SEAR	South-East Asia Region	2010	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15232977	6964	0					
WHO_REGIONS	WPR	Western Pacific Region	2010	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	15791331	0	0					
WHO_REGIONS	WPR	Western Pacific Region	2010	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	14229848	107089	1					
WHO_REGIONS	AFR	African Region	2024	15HPVC_M	HPV Vaccination coverage by age 15, last dose, males	HPV	HPV Estimates	14608772	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2024	15HPVC_M	HPV Vaccination coverage by age 15, last dose, males	HPV	HPV Estimates	8496160	0	0					
